date,hour,minute,coin,volume,avg_price
2017-09-03,10,41,bch,1.0973,638900
2017-09-03,10,41,btc,1.6486,5075650.4306684453
2017-09-03,10,41,etc,1108.8704,21466.811778003994
2017-09-03,10,41,eth,156.49289999999993,385011.75765801535
2017-09-03,10,41,qtum,691.20900000000006,17999.493269040187
2017-09-03,10,41,xrp,13153.613400000002,250.99999999999997
2017-09-03,10,42,bch,0.5426,638800
2017-09-03,10,42,btc,2.5065,5075822.9204069413
2017-09-03,10,42,etc,2442.6420999999996,21521.481120381912
2017-09-03,10,42,eth,172.02069999999995,385276.608745343
2017-09-03,10,42,qtum,2594.0314,17989.845249367456
2017-09-03,10,42,xrp,605,251
2017-09-03,10,43,bch,0.8631,638800
2017-09-03,10,43,btc,0.8755,5075960.5368360942
2017-09-03,10,43,etc,1301.3608,21496.702305002578
2017-09-03,10,43,eth,125.22880000000004,384595.25320852693
2017-09-03,10,43,qtum,1746.5559999999998,17977.502203193031
2017-09-03,10,43,xrp,103010,251
2017-09-03,10,44,bch,1,638800
2017-09-03,10,44,btc,3.0695,5070177.1298257038
2017-09-03,10,44,etc,8,21410
2017-09-03,10,44,eth,5.0691,385884.07212325663
2017-09-03,10,44,qtum,3690.7212999999992,17980.408931988444
2017-09-03,10,44,xrp,22319.0996,251.00000000000003
2017-09-03,10,45,bch,6.5795000000000012,638620.82985029242
2017-09-03,10,45,btc,2.2685999999999997,5076486.68782509
2017-09-03,10,45,etc,702.23049999999989,21423.161749596467
2017-09-03,10,45,eth,19.1278,385797.72007235541
2017-09-03,10,45,qtum,319.8596,18045.430867167968
2017-09-03,10,45,xrp,77643.5104,251
2017-09-03,10,46,bch,2.8208,638499.99999999988
2017-09-03,10,46,btc,1.4111000000000005,5086647.3318687528
2017-09-03,10,46,etc,983.6582,21502.410187807105
2017-09-03,10,46,eth,102.72780000000003,385755.33998586546
2017-09-03,10,46,qtum,1272.6680999999999,18047.818627653203
2017-09-03,10,46,xrp,228016.2182,252
2017-09-03,10,47,bch,2.3334,638579.210593983
2017-09-03,10,47,btc,1.1982,5089985.3113002842
2017-09-03,10,47,etc,1626.9499000000003,21584.36115887772
2017-09-03,10,47,eth,269.6329,386506.54261775909
2017-09-03,10,47,qtum,1955.3014999999991,18001.955273905332
2017-09-03,10,47,xrp,10663.2142,251.99999999999997
2017-09-03,10,48,bch,43.9034,638896.84785233042
2017-09-03,10,48,btc,2.3032000000000004,5091129.4286210481
2017-09-03,10,48,etc,964.0823,21587.0152848984
2017-09-03,10,48,eth,546.73669999999993,387918.10609201842
2017-09-03,10,48,qtum,466.1557,17997.841525910761
2017-09-03,10,48,xrp,330000.728,251.74803237524978
2017-09-03,10,49,bch,19.2677,639562.95821504388
2017-09-03,10,49,btc,5.5816999999999988,5095252.0916566653
2017-09-03,10,49,etc,2205.6611000000012,21652.28291916649
2017-09-03,10,49,eth,214.98689999999996,388118.89870964241
2017-09-03,10,49,qtum,99.9392,18020.011687105758
2017-09-03,10,49,xrp,14196.0276,252.11137112751175
2017-09-03,10,50,bch,0.54,643000
2017-09-03,10,50,btc,2.6384999999999996,5099496.228917947
2017-09-03,10,50,etc,2752.7740000000008,21728.062551811367
2017-09-03,10,50,eth,420.20869999999991,389018.32771430025
2017-09-03,10,50,qtum,1361.0086,18022.54476643278
2017-09-03,10,50,xrp,39984.0196,252.99999999999997
2017-09-03,10,51,bch,18.098799999999997,641537.11682542507
2017-09-03,10,51,btc,2.8704,5100060.6187290968
2017-09-03,10,51,etc,939.33889999999974,21728.406452665811
2017-09-03,10,51,eth,170.92730000000003,387961.97623200034
2017-09-03,10,51,qtum,400.46689999999995,17997.259676143025
2017-09-03,10,51,xrp,126522.80290000001,252.25769976994397
2017-09-03,10,52,bch,0.4103,643000.00000000012
2017-09-03,10,52,btc,1.0059,5108895.91410677
2017-09-03,10,52,etc,652.25880000000006,21666.337613229593
2017-09-03,10,52,eth,189.2785,386855.8947265537
2017-09-03,10,52,qtum,628.0115,18003.420316347714
2017-09-03,10,52,xrp,16961.6745,252
2017-09-03,10,53,btc,1.9483000000000001,5097089.2829646356
2017-09-03,10,53,etc,82.581799999999987,21640.414110615176
2017-09-03,10,53,eth,138.458,386953.49911164393
2017-09-03,10,53,qtum,1673.9756,17996.38780338256
2017-09-03,10,53,xrp,13896.7698,252
2017-09-03,10,54,bch,5,642000
2017-09-03,10,54,btc,1.8096999999999999,5102753.5503122071
2017-09-03,10,54,etc,59.8687,21608.987300542685
2017-09-03,10,54,eth,68.0116,386717.05819301412
2017-09-03,10,54,qtum,261.409,18005.772088948735
2017-09-03,10,54,xrp,1622.5642,251.99999999999997
2017-09-03,10,55,bch,46.1365,639217.372145698
2017-09-03,10,55,btc,0.10579999999999999,5102504.7258979212
2017-09-03,10,55,etc,914.73489999999993,21615.397651275798
2017-09-03,10,55,eth,28.389999999999997,386500.00000000006
2017-09-03,10,55,qtum,320.9196,18020.116153703297
2017-09-03,10,55,xrp,52304.5568,252
2017-09-03,10,56,bch,23.981099999999998,639183.831850916
2017-09-03,10,56,btc,5.6278999999999995,5105069.7062847605
2017-09-03,10,56,etc,69.342799999999983,21599.971157784232
2017-09-03,10,56,eth,233.8679,386330.85989996919
2017-09-03,10,56,qtum,625.863,18060
2017-09-03,10,56,xrp,3000,252
2017-09-03,10,57,btc,0.4217,5104868.8641214138
2017-09-03,10,57,etc,359.5792,21562.908577581795
2017-09-03,10,57,eth,115.68330000000002,385972.71429843368
2017-09-03,10,57,qtum,127.57289999999999,18020.278946390656
2017-09-03,10,57,xrp,3180.4528,251.03207090512396
2017-09-03,10,58,bch,10.2257,639343.16281525954
2017-09-03,10,58,btc,11.2779,5100931.18843047
2017-09-03,10,58,etc,505.99039999999997,21515.857739593484
2017-09-03,10,58,eth,99.231900000000053,385487.82291783171
2017-09-03,10,58,qtum,320.2985,18021.561043838792
2017-09-03,10,59,btc,17.755,5102816.7586595323
2017-09-03,10,59,etc,241.0346,21494.6873851306
2017-09-03,10,59,eth,122.0052,385863.5815112798
2017-09-03,10,59,qtum,2055.5892000000003,18008.86841008894
2017-09-03,10,59,xrp,311.4561,251.00321072536389
2017-09-03,11,0,btc,2.2036000000000002,5108213.8319114167
2017-09-03,11,0,etc,438.69999999999993,21548.660296330068
2017-09-03,11,0,eth,139.76670000000001,385344.85667902289
2017-09-03,11,0,qtum,180.4853,18016.906706529564
2017-09-03,11,0,xrp,223.4768,251
2017-09-03,11,1,btc,0.2338,5104552.8229255769
2017-09-03,11,1,etc,20,21560
2017-09-03,11,1,eth,79.777799999999985,385398.33117734519
2017-09-03,11,1,qtum,1521.6873,18010
2017-09-03,11,2,btc,0.3888,5096281.25
2017-09-03,11,2,etc,129.5674,21619.351017308367
2017-09-03,11,2,eth,1.8296999999999999,385755.54735749034
